text,sentiment
"I loved this movie it was fantastic",positive
"This film was a disaster and a waste of time",negative
"Amazing storyline and great acting",positive
"I really hated the ending",negative
"What a wonderful experience",positive
"The plot was boring and predictable",negative
"Best movie I have seen in years",positive
"I fell asleep it was so dull",negative
"The food was delicious and the service was great",positive
"Terrible service and rude staff",negative
"Highly recommended to everyone",positive
"Do not watch this garbage",negative
"It was okay but not great",negative
"Absolutely breathtaking visuals",positive
"The worst performance I have ever seen",negative
